CODPROD,CODBARRAS,DESCRIPCION,PRECIO
73413,7501761828849,QUAKER GALLETA CON MANZANA 50GR,300
73414,7501761847994,QUAKER STILA MORA,200
73415,7501761848007,QUAKER STILA MANZANA,200
73416,7501761857245,QUAKER STILA 25G,200
73417,7501761860351,GALLETAS CON GRANOLA 187G,1050
73418,7501761860368,GALLETAS QUAKER MANZANA 187G,1050
73419,7501761863642,GALLETAS CON PASAS QUAKER 187G,1050
73420,7501839110425,CREMA  DE TRATAMIENTO,2500
73421,7501839114065,CREMA DE  PEINAR,2300
73422,7501839129410,"GARNIER FRUCTIS ",2450
73423,7501839129465,GARNIER FRUCTIS,1250
73424,7501839129472,GARNIER FRICTIS,2450
73425,7501839129489,GARNIER FRUCTIS,2450
73426,7501839180305,"ESPUMA RIZOS ELASTICOS ",2490
73427,7501839199383,GARNIER BIO RELAX 150ML,2400
73428,7501839199734,GARNIER BIO SOFT 150ML,2400
73429,7501839199758,GARNIER BI-O FOR MEN 48 H COOL,2400
73430,7501839199772,GARNIER ENEREGY 150ML FOR MEN,2400
73431,7501943452701,JABON LIQUIDO HUGGIES 250ML,1350
73432,7501943452824,JABON LIQUIDO HUGGIES 250ML,1350
73433,7501943452886,CREMA BEBE HUGGIES 250ML,1990
73434,7501943463240,HIGENICO COTTONELLE,2100
73435,7502211237648,HEINZ MOSTAZA 368G.,1850
73436,7502214739620,QUATTRO 4,1450
73437,7502221181214,BRUT 130G DESODORANTE,3200
73438,7502221181337,DESODORANTE BRUT,1800
73439,7502221181603,DES. BRUT CLASSIC,2450
73440,7502221181641,BRUT CLASSIC DEODORANT STICK,1990
73441,7502221183201,AFTER SHAVE CLASSICO,6500
73442,7502221183317,"DESODORANTE BRUT ANTI TRANSPIRANTE ",2850
73443,7502221183331,DESODORANTE BRUT ANTI PERSPIRANT,2850
73444,7502221183348,DESODORANTE DEODORANT,2850
73445,7502221183355,BRUT ATTITUDE 65GR,2850
73446,7502221183881,ESPUMA DE AFEITAR BRUT CLASSIC 210ML,3200
73447,7502221184604,deo brut barra clasico,1900
73448,7502230942356,"BON O BON ",2400
73449,7502230943223,POOSH,2490
73450,7502230945593,bon o bon avellana x30,3300
73451,7502247331549,PAÑAL BABY SEC RECIEN NACIDO,4990
73452,7503002319529,VANISH PROTECTOR DE COLOR 925 ML,3590
73453,7503002319536,VANISH,5900
73454,7503002319543,VANISH PROTECTOR COLOR 450 ML,1490
73455,7506078909540,SHAMPOO ELVIVE NUTRI- GLOSS,3200
73456,7506078909557,ACONDICIONADOR ELVIVE NUTRI- GLOSS,3200
73457,7506078919914,SHAMPOO ELVIVE ANTI - QUIEBRE,3200
73458,7506078926912,SHAMPOO ELVIVE 400ML,3450
73459,7506078926929,COLOR ELVIVE 400ML,3450
73460,7506078933101,SHAMPOO ELVIVE LISS- INTENSE EXTREME,3200
73461,7506078934535,ACONDICIONADOR ELVIVE RE-NUTRICION,3490
73462,7506078934603,SHAMPOO ELVIVE RE- NUTRICION,3490
73463,7506078934610,ELVIVE LOREAL CREMA DE TRATAMIENTO JALEA REAL.,2650
73464,7506078934825,LOREAL COLAGENO,12500
73465,7506078936423,ELVIVE LISS INTENSE,3100
73466,7506078942929,"ACONDICIONADOR ELVIVE LISS- INTENSE EXTREME ",3200
73467,7506078947894,SHAMPOO ELVIVE REPARACION TOTAL 5,3450
73468,7506078947900,ACONDICIONADOR ELVIVE REPARACION TOTAL 5,3450
73469,7506078947924,ELIVE REPARACION TOTAL,3500
73470,7506078948044,DESODORANTE BIO INVISIBLE,2400
73471,7506078948099,GARNIER BI- O FOR MEN 48 H EXTREME 80,2450
73472,7506078959033,SHAMPOO ELVIVE 200ML,2150
73473,7506078959989,NUTRISSE Nº5562 FRESA,4700
73474,7506078959996,NUTRISSE Nº6660 MANZANA,4700
73475,7506078960008,NUTRISSE Nº7764 GRANADINA,4700
73476,7506078984172,LOREAL DERMO HIDRA TOTAL 5,12900
73477,7506105604677,HALLS COLORES,300
73478,7506105606077,CHICLE TRIDENT,750
73479,7506105606084,TRIDENT,750
73480,7506105606114,DENTYNE MENTA,280
73481,7506105606121,DENTINE MENTA VERDE,280
73482,7506105606138,DENTYNE,280
73483,7506105606145,DENTYNE FRUTILLA,300
73484,7506174500474,MILKY WAY 22G,350
73485,7506174500481,SNICKERS  21.5GR,350
73486,7506174502645,SNICKERS,300
73487,7506178504171,"TAZON ",990
73488,7506195103364,PANTENE PRO-V ESTAURACION 2EN 1,250
73489,7506195120057,HEAD SHOULDERS,1990
73490,7506195120071,SHAMPOO HEAD N SHOULDERS,3500
73491,7506195120347,HEAD AND SHOULDERS MANZANA FRESH,3500
73492,7506195126325,PANTENE FUSION NATURALEZA,3500
73493,7506195126493,ACONDICIONADOR PANTENE NATURALEZA,3500
73494,7506195126530,PANTENE ACONDICIONADOR FUSION NATURALEZA 400ML,3500
73495,7506195128992,DESODORANTE GILLETTE,2600
73496,7506195129838,ALWAYS PINK,950
73497,7506195129876,TOALLA ALWAYS PINC,1150
73498,7506195131640,"Orala B Complete ",1100
73499,7506195132852,ENJUAGUE ORAL B,2900
73500,7506195142035,SHAMPOO HEAD & SHOULDERS 200 ML,1990
73501,7506195142042,SHAMPOO HEAD & SHOULDER,3500
73502,7506195143322,ACONDICIONADOR HEAD & SHOULDERS,3750
73503,7506195143360,HEAD AND SHOULDERS LIMPIEZA RENOVADORA 400 ML,3500
73504,7506195148679,HEAD & SHOULDRES 90ML,1150
73505,7506195148686,HEAD & SHOULDERS 90ML,990
73506,7506195152935,DETERGENTE ACE MATIC 400G,990
73507,7506195152959,DETERGENTE ARIEL MATIC 400G,1300
73508,7506195153598,PILA DURACELL AA,650
73509,7506195155394,ACONDICIONADOR HERBAL ESSENCE 300 ML,2600
73510,7506195155493,SHAMPOO ALBOROTALOS DE HERBAL ESSENCES 355 ML,2600
73511,7506195155851,ACE MATIC 1KG,2900
73512,7506195155882,ACE MATIC NATURAL ALOE VERA 1 KG,2650
73513,7506195155912,ARIEL MATIC 1KILO,3500
73514,7506195160435,SHAMPOOPANTENE 100ML,1150
73515,7506195170366,DESODORANTE GILLETTE,2600
73516,7506195178188,ALWAYS NOCHES TRANQUILAS 8U,1700
73517,7506195179499,ALWAYS ULTRA FINA 14 UNIDADES,2450
73518,7506195182291,PAMPERS M  48UNI,9600
73519,7506195184615,GILLETE COOL WAVE 150ML,2490
73520,7506195184622,GUILLETE SPORT ARTIC 150ML,2490
73521,7506195184639,GILLETTE SOFT COMFORT 150ML,2490
73522,7506295304340,OLD SPICE SHWTIME,2500
73523,7506295336198,PROTECTORES DIARIOS ALWAYSX 100,3490
73524,7506295349426,ARIEL TOTAL 1 LT,4350
73525,7506295349433,ARIEL LIQUIDO 3L,9900
73526,7506295349488,DETERGENTE ACE LITRO,3800
73527,7506295349495,ACE LIQUIDO DE 3 LITROS,7490
73528,7506295355076,SHAMPOO HEAD & SHOULDERS,3500
73529,7506295358121,PAMPERS PREMIUM CARE XXG 32U,9600
73530,7506295383130,ALWAYS PLATINUN ULTRA FINA,1650
73531,7506295383147,ALQWAYS PLATINUM,1900
73532,7506295397311,"ALWAYS ",2900
73533,7506306200562,CREMA ST.IVES 350ML,3490
73534,7506306200630,CREMA ST.IVES 350ML,3490
73535,7506306200647,CREMA STIVES,4250
73536,7506306241169,"DAVE DESODORANTE ",2600
73537,7506306241176,DAVE INVISIBLE,2600
73538,7506306241183,DOVE ORIGINAL,2600
73539,7506306244177,.DESORANTE REXONA,2250
73540,7506309827490,MAGISTRAL,3450
73541,7506309837246,"PANTENE CREMA DE PEINAR ",4250
73542,7506309839110,DESODORANTE OLD SPICE,1990
73543,7506309839134,DESODORANTE OLD SPICE,1990
73544,7506309840024,SHAMPOO PANTENE,4700
73545,7506309845036,PANTENE SHAMPOO,3500
73546,7506309893464,ALWAYS ULTRAFINA 10U,1700
73547,7506309894492,HEAD & SHOULDERS MEN,3500
73548,7506309895208,TOALLA HIGIENICA NATURELLA,1650
73549,7506309898889,ANTITRSPIRANTE OLD SPICE,2650
73550,7506339306088,"PAMPERS XG 32 ",7490
73551,7506339306095,PAÑAL PAMPER,5900
73552,7506339334357,PRESTOBARBA GILLETTE,1100
73553,7506339344714,GILLETTE PRESTOBARBA 3,850
73554,7506339349016,OLD SPICE SPRAY,2490
73555,7506339349023,DESODORANTE OLD SPICE,2490
73556,7506339349047,DESODORANTE OLD SPICE,2990
73557,7506339396775,HEAD N SHOULDERS HUMECTACION,3500
73558,7509546000305,PROTEX BALANCE 221ML,1850
73559,7509546000343,PASTA DENTAL COLGATE TRIPLE ACCION 100ML,2600
73560,7509546000985,PASTA DENTAL COLGATE TRIP  AC  75ML,1600
73561,7509546003122,PASTA DENTAL BARBIE,1350
73562,7509546004419,SPEED STICK LIGHTNING,2490
73563,7509546004426,SPEED STICK AVALANCHE 50GR,2490
73564,7509546004440,"DESOORANTE SPEED STICK GEL ",2700
73565,7509546004457,DESODORANTE SPEED STICK GEL,2700
73566,7509546004471,LADY SPEED STICK,2900
73567,7509546004488,"LADY SPEED STICK ",2900
73568,7509546004587,DESODORANTE SPEED STICK,1890
73569,7509546008165,LADY SPEED STICK MORNING 45GRS,2190
73570,7509546008172,LADY SPEED STICK ALOE PETAL 45G,2190
73571,7509546009001,DEO SPEED STICK LIGHTNING,2400
73572,7509546009018,SPEED STICK AVALANCHE,2400
73573,7509546009049,SPEED STICK COOL FUSION,2100
73574,7509546009056,SPEED STICK 24/7 ICY SURGE,2100
73575,7509546009063,SPEED STICK 24/7 FRESH RUSH ANTI.,2100
73576,7509546009070,DES. SPEED STICK,2900
73577,7509546009087,DES.SPEED STICK,2490
73578,7509546009094,DESODORANTE SPEED STICK GEL 24/7,2490
73579,7509546009179,COLGATE CON CALCIO 114 GRS,1490
73580,7509546010366,PASTA DENTAL BOB,1350
